Product_name,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53,Week54,Week55,Week56,Week57,Week58,Week59,Week60,Week61,Week62,Week63,Week64,Week65,Week66,Week67,Week68,Week69,Week70,Week71,Week72,Week73,Week74,Week75,Week76,Week77,Week78,Week79,Week80,Weight_sum
"Redmi 7A (Matte Blue, 16 GB)(2 GB RAM)",399,797,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348.95
"POCO F1 by Xiaomi (Graphite Black, 128 GB)(6 GB RAM)",55,151,265,334,324,169,164,14,13,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320.15
"Vivo Y81 (Black, 32 GB)(3 GB RAM)",10,32,82,150,131,86,101,178,162,156,108,124,152,138,149,91,95,111,101,103,16,15,18,16,14,33,17,29,20,32,37,34,35,33,28,33,19,34,47,49,42,10,13,19,19,8,17,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230.95
"Redmi K20 (Glacier Blue, 128 GB)(6 GB RAM)",137,321,425,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.6
"Vivo Y81 (Black, 32 GB)(3 GB RAM)",10,30,76,131,144,94,88,173,173,147,92,92,149,149,152,100,123,88,103,104,15,16,20,13,9,18,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.85
"OPPO F11 Pro (Aurora Green, 64 GB)(6 GB RAM)",37,64,143,198,204,85,98,118,124,130,67,47,57,70,58,44,65,73,76,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169.1
"OPPO F11 Pro (Thunder Black, 64 GB)(6 GB RAM)",38,64,140,196,184,117,90,110,134,118,77,45,66,69,51,55,63,70,82,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.55
"OPPO F11 Pro (Thunder Black, 128 GB)(6 GB RAM)",38,64,133,207,188,96,104,118,126,136,58,44,61,56,62,58,68,76,62,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.3
"OPPO F11 Pro (Aurora Green, 128 GB)(6 GB RAM)",37,64,138,196,193,100,102,115,136,112,76,41,58,72,67,44,64,70,67,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167.85
"Redmi 6A (Blue, 32 GB)(2 GB RAM)",21,42,91,173,172,88,87,132,116,119,65,67,83,79,104,56,87,84,81,80,87,88,96,74,49,87,71,81,32,46,37,36,34,6,11,11,10,1,5,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.65
"Redmi 6A (Gold, 16 GB)(2 GB RAM)",22,42,98,167,186,65,93,122,122,122,67,61,85,94,102,55,72,88,85,71,71,100,92,80,49,95,79,69,21,46,36,46,42,15,10,11,1,2,2,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079.55
"Redmi 6A (Black, 32 GB)(2 GB RAM)",24,40,98,178,168,78,91,103,126,132,70,63,94,86,88,59,74,80,78,81,86,78,101,82,36,76,100,75,18,41,52,38,31,13,8,9,7,2,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077.75
"Redmi 6A (Black, 16 GB)(2 GB RAM)",24,40,103,172,168,73,97,99,114,125,82,57,91,104,82,62,79,71,94,84,97,101,79,70,56,80,83,68,14,51,43,49,34,7,9,13,7,1,4,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073.75
"Honor 7S (Blue, 16 GB)(2 GB RAM)",38,89,139,233,229,120,122,93,96,107,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072.85
"Infinix Note 5 (Berlin Gray, 32 GB)(3 GB RAM)",32,53,95,158,167,75,79,145,114,121,76,35,41,36,43,36,42,51,63,48,88,85,84,76,87,168,165,138,117,179,176,194,143,105,112,100,53,104,130,142,134,79,164,150,164,134,114,123,105,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984.2
