Product_name,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Alcatel 3V (Spectrum Blue, 32 GB)(3 GB RAM)",0,3,3,9,8,19.6
"Alcatel 3V (Spectrum Gold, 32 GB)(3 GB RAM)",3,4,3,9,4,20.35
"Apple iPhone 6s (Silver, 32 GB)",11,18,15,14,4,56.7
"Apple iPhone 6s (Space Grey, 32 GB)",0,11,18,13,15,49.7
"Apple iPhone 6s Plus (Rose Gold, 32 GB)",1,4,4,3,4,14.15
"Apple iPhone 7 (Silver, 128 GB)",2,7,5,4,5,20.55
"Apple iPhone 7 Plus (Jet Black, 32 GB)",0,0,0,0,0,0
"Apple iPhone 7 Plus (Rose Gold, 256 GB)",0,1,0,1,0,1.8
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",0,0,0,0,0,0
"Apple iPhone 8 (Silver, 256 GB)",0,0,0,0,0,0
"Apple iPhone 8 (Silver, 64 GB)",0,0,0,0,0,0
"Apple iPhone 8 Plus (Gold, 256 GB)",0,3,0,1,4,6.9
"Apple iPhone 8 Plus (Gold, 64 GB)",0,3,0,1,3,6.1
"Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",0,0,0,0,0,0
"Apple iPhone SE (Gold, 128 GB)(2 GB RAM)",0,0,0,0,0,0
"Apple iPhone SE (Gold, 32 GB)",5,7,6,4,7,26.05
"Apple iPhone SE (Silver, 128 GB)",0,7,6,4,9,22.65
"Apple iPhone X (Space Gray, 64 GB)",11,13,11,13,6,49.1
"Apple iPhone XR (Black, 64 GB)",0,8,7,8,9,27.9
"Apple iPhone XR (White, 64 GB)",7,8,7,8,5,31.7
"Apple iPhone XS (Space Grey, 256 GB)",0,0,0,0,0,0
"Asus Zenfone 3 (Gold, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Asus Zenfone 4 Selfie (Black, 32 GB)(3 GB RAM)",0,0,2,0,1,2.6
"Asus ZenFone Lite L1 (Gold, 16 GB)(2 GB RAM)",67,77,80,96,52,335.35
"Asus ZenFone Max M2 (Black, 32 GB)(3 GB RAM)",0,158,159,138,126,511.3
"Asus ZenFone Max M2 (Black, 64 GB)(4 GB RAM)",49,58,39,25,6,165.25
"Asus ZenFone Max M2 (Blue, 32 GB)(3 GB RAM)",145,188,158,137,57,627.85
"Asus ZenFone Max M2 (Silver, 64 GB)(4 GB RAM)",0,60,40,25,17,127.85
"Asus Zenfone Max Pro M1 (Black, 64 GB)(4 GB RAM)",320,420,393,429,509,1844.55
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",197,195,207,173,219,890.8
"BLU Studio G HD (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"BLU Studio One (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Cloudfone Special Edition (White, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Forme F520 (Yellow, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Gionee F9 (Blue, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Gome C7 (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Google Pixel (Very Silver, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Google Pixel 2 (Clearly White, 64 GB)(4 GB RAM)",0,0,1,1,0,1.75
"Google Pixel 3 (Clearly White, 64 GB)(4 GB RAM)",0,3,0,0,2,4.45
"Google Pixel 3 (Just Black, 128 GB)(4 GB RAM)",1,3,0,0,0,3.85
"Google Pixel 3 XL (Clearly White, 64 GB)(4 GB RAM)",0,2,0,1,1,3.55
"Google Pixel 3 XL (Not Pink, 128 GB)(4 GB RAM)",0,2,0,1,0,2.75
"Google Pixel XL (Quite Black, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Honor 10 Lite (Midnight Black, 64 GB)(4 GB RAM)",43,65,47,50,67,243.15
"Honor 10 Lite (Sapphire Blue, 32 GB)(3 GB RAM)",48,60,53,38,42,218.6
"Honor 10 Lite (Sky Blue, 64 GB)(6 GB RAM)",11,3,3,2,3,20.65
"Honor 20i (Midnight Black, 128 GB)(4 GB RAM)",109,92,49,44,53,320.3
"Honor 5X (Grey, 16 GB)(2 GB RAM)",0,0,0,2,0,1.7
"Honor 5X (Silver, 16 GB)(2 GB RAM)",0,0,0,2,0,1.7
"Honor 7A (Black, 32 GB)(3 GB RAM)",0,55,46,59,75,203.8
"Honor 7S (Blue, 16 GB)(2 GB RAM)",89,83,91,116,88,418.75
"Honor 8C (Black, 32 GB)(4 GB RAM)",0,201,200,273,159,730.2
"Honor 8C (Blue, 32 GB)(4 GB RAM)",173,194,200,270,65,818.8
"Honor 8x (Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Honor 8X (Blue, 128 GB)(6 GB RAM)",10,13,17,7,1,44.4
"Honor 8X (Blue, 64 GB)(6 GB RAM)",0,11,18,7,1,33.4
"Honor 9 Lite (Midnight Black, 32 GB)(3 GB RAM)",84,104,115,126,65,445.4
"Honor 9 Lite (Sapphire Blue, 64 GB)(4 GB RAM)",0,32,23,22,27,91.4
"Honor 9i (Aurora Blue, 64 GB)(4 GB RAM)",69,72,74,62,85,324.7
"Honor 9N (Midnight Black, 64 GB)(4 GB RAM)",123,190,192,234,127,776.8
"Honor 9N (Purple, 64 GB)(4 GB RAM)",0,151,184,232,225,686.25
"Honor Play (Navy Blue, 64 GB)(6 GB RAM)",0,0,0,0,0,0
"HTC Wildfire X (Blue MB, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Infinix Hot 7 (Midnight Black, 64 GB)(4 GB RAM)",260,243,257,290,270,1184.65
"Infinix Note 5 (Berlin Gray, 32 GB)(3 GB RAM)",39,55,67,54,51,238.25
"Infinix Note 5 Stylus (Charcoal Blue, 64 GB)(4 GB RAM)",0,5,0,0,1,5.55
"Infinix Smart 2 (Serene Gold, 16 GB)(2 GB RAM)",0,58,66,57,67,216.55
"Infinix Smart 3 Plus (Mocha Brown, 32 GB)(2 GB RAM)",126,170,176,170,206,755.2
"InFocus A2 (Midnight Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Intex Aqua Lions T1 Plus (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Itel A23 (Champagne Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A23 (Gradation Phantom Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A44 Air (Slate Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A44 Power (Aqua Blue, 8 GB)(1 GB RAM)",0,0,0,1,0,0.85
"Itel A62 (Bordeaux Red, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"iVooMi i1s (New Edition) (Autumn Gold, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Karbonn Alfa A91 Power (Champagne, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Karbonn K9 Smart Yuva 4G VoLTE (Black & Champagne, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"KXD W50 (Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Lava A48 (Blue, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Lava A50 (Black & Silver, 8 GB)(512 MB RAM)",0,0,0,0,0,0
"Lava A52 (Black, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Lava A97 2GB Plus (Blue, Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava Flair P1i (Black, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Flair P1i (White, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris 370 (Black & Blue, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris Atom X (Black, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris X1 Grand (Black & Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Lava Z62 (Space Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava Z81 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lenovo A390 (White, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Lenovo A5 (Gold, 16 GB)(2 GB RAM)",0,9,11,11,18,42.2
"Lenovo K9 (Blue, 32 GB)(3 GB RAM)",14,11,17,21,8,64
"Lenovo K9 Note (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)(3 GB RAM)",0,0,1,0,0,0.9
"LG K7i (Brown, 16 GB)(2 GB RAM)",0,0,0,2,0,1.7
"LG K9 4G LTE (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Meizu M6T (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Micromax Android One (White, 4 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bolt Selfie (Champagne, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bolt Supreme 4 (Silver, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bolt Supreme 4 Q352 Plus (Grey, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Canvas Xl2 (Black, 4 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Evok Power (Champagne, 16 GB)(2 GB RAM)",0,2,0,0,1,2.7
"Micromax Evok Power (Grey, 16 GB)(2 GB RAM)",0,1,0,0,1,1.75
"Micromax iOne (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Micromax Sliver 5 Q450 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Micromax Spark Go (Rose Gold, 8 GB)(1 GB RAM)",19,24,17,17,25,91.55
"Mobiistar C1 Shine (Blue, 16 GB)(2 GB RAM)",0,0,0,0,1,0.8
"Mobiistar C1 Shine (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Mobiistar X1 Dual (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Mobiistar XQ Dual (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Moto E (1st Gen) (Black, 4 GB)(1 GB RAM)",3,7,5,6,1,20.05
"Moto E5 (Fine Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Moto G5s (Oxford Blue, 32 GB)(4 GB RAM)",1,1,2,2,0,5.45
"Moto G7 Power (Ceramic Black, 64 GB)(4 GB RAM)",2,1,2,7,1,11.5
"Nextbit Robin (Midnight, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Nokia 1 (Warm Red, 8 GB)(1 GB RAM)",26,22,23,14,8,85.9
"Nokia 2.1 (Blue & Silver, 8 GB)(1 GB RAM)",6,7,1,6,3,21.05
"Nokia 3.1 Plus (Blue, 32 GB)(3 GB RAM)",9,9,7,9,4,34.7
"Nokia 9 (Blue, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"Nubia Red Magic 3 (Camouflage, 256 GB)(12 GB RAM)",0,0,0,0,0,0
"OPPO A3s (Purple, 32 GB)(3 GB RAM)",0,10,8,13,8,34.15
"OPPO A3s (Purple, 64 GB)(4 GB RAM)",27,40,33,47,21,151.45
"OPPO A3s (Red, 16 GB)(2 GB RAM)",35,46,10,7,20,109.65
"OPPO A3s (Red, 64 GB)(4 GB RAM)",0,39,29,50,51,146.45
"OPPO A5 (Diamond Blue, 32 GB)(4 GB RAM)",0,3,5,8,5,18.15
"OPPO A5 (Diamond Red, 64 GB)(4 GB RAM)",4,3,5,8,4,21.35
"OPPO A5s (Blue, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"OPPO A5s (Green, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO A5s (Red, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"OPPO A7 (Glaring Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO A7 (Glaze Blue, 64 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO A7 (Glaze Blue, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO A83 (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO A83 (Champagne, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"OPPO A9 (Fluorite Purple, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO A9 (Marble Green, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO F11 (Marble Green, 128 GB)(4 GB RAM)",0,46,39,50,48,159.7
"OPPO F11 Pro (Thunder Black, 64 GB)(6 GB RAM)",0,80,66,84,112,296.4
"OPPO F7 (Red, 64 GB)(4 GB RAM)",0,0,2,0,1,2.6
"OPPO F9 (Mist Black, 64 GB)(4 GB RAM)",4,14,7,6,7,34.3
"OPPO F9 Pro (Starry Purple, 64 GB)(6 GB RAM)",10,10,16,13,13,55.35
"OPPO Find X (Glacier Blue, 256 GB)(8 GB RAM)",0,1,0,0,0,0.95
"OPPO K1 (Astral Blue, 64 GB)(4 GB RAM)",0,84,72,80,116,305.4
"Panasonic Eluga A4 (Mocha Gold, 32 GB)(3 GB RAM)",0,0,2,1,0,2.65
"Panasonic Eluga Ray (Gold, 16 GB)(3 GB RAM)",2,1,0,1,0,3.8
"Panasonic Eluga Ray 600 (Black, 32 GB)(3 GB RAM)",1,4,2,3,6,13.95
"Panasonic Eluga Ray 800 (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Panasonic Eluga Ray Max (Gold, 32 GB)(4 GB RAM)",0,1,0,1,1,2.6
"Panasonic P55 Max (Champagne Gold, 16 GB)(3 GB RAM)",0,1,0,1,0,1.8
"Panasonic P55 Novo (Midnight Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Panasonic P71 (Ivory Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Panasonic P75 (Champagne Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Panasonic P85 (Gold, 16 GB)(2 GB RAM)",1,1,0,2,1,4.45
"Panasonic P99 (Champagne Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Phonemax Mars X (Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Realme 2 (Diamond Black, 32 GB)(3 GB RAM)",0,52,69,54,70,213.4
"Realme 2 (Diamond Blue, 32 GB)(3 GB RAM)",40,53,72,56,36,231.55
"Realme 2 Pro (Black Sea, 64 GB)(4 GB RAM)",137,190,192,194,70,711.2
"Realme 2 Pro (Black Sea, 64 GB)(6 GB RAM)",23,32,28,24,23,117.4
"Realme 3 (Dynamic Black, 64 GB)(3 GB RAM)",787,1023,1029,853,503,3812.4
"Realme 3 (Dynamic Black, 64 GB)(4 GB RAM)",286,367,334,297,167,1321.3
"Realme 3 (Radiant Blue, 32 GB)(3 GB RAM)",0,957,990,854,1002,3327.65
"Realme 3 Pro (Lightning Purple, 128 GB)(6 GB RAM)",264,348,326,328,441,1519.6
"Realme 3 Pro (Lightning Purple, 64 GB)(4 GB RAM)",0,783,818,703,811,2726.4
"Realme 3 Pro (Nitro Blue, 64 GB)(4 GB RAM)",690,871,816,710,335,3123.35
"Realme 3i (Diamond Black, 32 GB)(3 GB RAM)",1601,1472,1263,1702,981,6367.6
"Realme 3i (Diamond Black, 64 GB)(4 GB RAM)",0,398,358,374,247,1215.8
"Realme 3i (Diamond Red, 32 GB)(3 GB RAM)",0,1395,1303,1688,1410,5060.75
"Realme 3i (Diamond Red, 64 GB)(4 GB RAM)",427,399,335,367,154,1542.7
"Realme C1 (Mirror Black, 32 GB)(2 GB RAM)",94,133,158,132,207,640.35
"Realme C1 (Mirror Black, 32 GB)(3 GB RAM)",0,20,40,28,33,105.2
"Realme C2 (Diamond Black, 16 GB)(2 GB RAM)",0,1746,2184,2295,2625,7675.05
"Realme C2 (Diamond Black, 32 GB)(3 GB RAM)",76,115,128,160,69,491.65
"Realme C2 (Diamond Blue, 16 GB)(2 GB RAM)",1668,2123,2183,2279,1452,8748.3
"Realme C2 (Diamond Blue, 32 GB)(3 GB RAM)",0,117,129,162,159,492.15
"Realme U1 (Brave Blue, 32 GB)(3 GB RAM)",17,24,36,13,10,91.25
"Realme U1 (Fiery Gold, 32 GB)(3 GB RAM)",0,21,35,14,22,80.95
"Realme U1 (Fiery Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Realme X (Onion, 128 GB)(8 GB RAM)",418,408,491,568,281,1955.1
"Realme X (Space Blue, 128 GB)(4 GB RAM)",0,766,1087,1263,1441,3932.35
"Redmi 5 (Lake Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Redmi 5 (Lake Blue, 32 GB)(3 GB RAM)",0,7,3,4,6,17.55
"Redmi 5 (Rose Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi 5A (Blue, 16 GB)(2 GB RAM)",61,52,40,31,50,212.75
"Redmi 5A (Gold, 32 GB)(3 GB RAM)",0,38,47,29,31,127.85
"Redmi 6 (Black, 64 GB)(3 GB RAM)",375,460,386,451,351,1823.55
"Redmi 6 Pro (Black, 32 GB)(3 GB RAM)",0,3,12,12,16,36.65
"Redmi 6 Pro (Red, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi 6 Pro (Rose Gold, 32 GB)(3 GB RAM)",8,5,12,12,9,40.95
"Redmi 6A (Black, 32 GB)(2 GB RAM)",0,41,45,52,66,176.45
"Redmi 6A (Gold, 32 GB)(2 GB RAM)",31,52,44,52,34,191.4
"Redmi 7 (Comet Blue, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"Redmi 7 (Comet Blue, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Redmi 7 (Lunar Red, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"Redmi 7 (Lunar Red, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Redmi 7A (Matte Blue, 32 GB)(2 GB RAM)",912,909,771,952,310,3526.65
"Redmi Go (Black, 8 GB)(1 GB RAM)",183,248,272,264,160,1015.8
"Redmi Go (Blue, 16 GB)(1 GB RAM)",0,191,271,255,297,879.7
"Redmi K20 (Glacier Blue, 128 GB)(6 GB RAM)",236,272,290,428,154,1242.4
"Redmi K20 Pro (Glacier Blue, 128 GB)(6 GB RAM)",194,283,304,519,158,1304
"Redmi K20 Pro (Glacier Blue, 256 GB)(8 GB RAM)",114,138,145,138,35,520.9
"Redmi Note 5 (Gold, 64 GB)(4 GB RAM)",0,21,28,28,30,92.95
"Redmi Note 5 Pro (Gold, 64 GB)(4 GB RAM)",89,119,122,117,55,455.3
"Redmi Note 5 Pro (Gold, 64 GB)(6 GB RAM)",44,83,87,92,97,356.95
"Redmi Note 6 Pro (Black, 64 GB)(4 GB RAM)",0,232,324,329,351,1072.45
"Redmi Note 6 Pro (Blue, 64 GB)(6 GB RAM)",49,66,57,60,65,266
"Redmi Note 7 (Onyx Black, 32 GB)(3 GB RAM)",60,126,136,115,89,471.05
"Redmi Note 7 (Onyx Black, 64 GB)(4 GB RAM)",106,137,158,158,94,587.85
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(4 GB RAM)",1084,1402,1221,1278,1420,5737.1
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(6 GB RAM)",473,593,466,530,271,2123.05
"Redmi Note 7S (Onyx Black, 64 GB)(4 GB RAM)",0,509,561,616,841,2184.85
"Redmi Note 7S (Sapphire Blue, 32 GB)(3 GB RAM)",876,1080,754,909,1183,4299.65
"Redmi Note 7S (Sapphire Blue, 64 GB)(4 GB RAM)",518,659,560,624,525,2598.45
"Redmi Y2 (Black, 32 GB)(3 GB RAM)",53,91,91,69,96,356.8
"Redmi Y2 (Black, 64 GB)(4 GB RAM)",89,60,35,35,34,234.45
"Redmi Y3 (Bold Red, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi Y3 (Elegant Blue, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Rio London (Black, 512 MB)(512 MB RAM)",0,0,0,0,0,0
"Samsung Galaxy A10 (Blue, 32 GB)(2 GB RAM)",38,34,29,33,39,155.65
"Samsung Galaxy A2 Core (Dark Gray, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A2 Core (Gold, 16 GB)(1 GB RAM)",0,0,0,0,0,0
