Product_name,Week30,Week31,Week32,Week33,Week34,Weight_sum
J series,109,113,159,137,55,511.49999999999994
A series,107,105,103,119,104,484.6
ON series,134,131,129,86,38,454.35
M series,6,7,5,12,0,26.65
S series,0,0,0,1,0,0.95
