Vendor,Week30,Week31,Week32,Week33,Week34,Weight_sum
Realme,12716.319999999998,15218.786666666669,14436.008888888884,13690.217777777776,6411.946666666667,62473.27999999999
Xiaomi,6875.198156682028,8215.39861751152,7308.746543778801,7786.251152073731,5529.400921658987,35714.995391705066
Vivo,2627.737417943107,2671.8336980306344,2197.3304157549233,2582.0,1568.5995623632384,11647.501094091902
Others,1769.0602409638557,1802.64578313253,1824.3855421686744,1865.0024096385544,1331.1999999999998,8592.293975903614
Huawei,1085.5847255369931,1557.0692124105005,1296.343675417661,1322.835322195704,757.1885441527446,6019.021479713603
Samsung,355.16627634660426,358.6721311475409,396.0,343.3606557377049,204.84309133489467,1658.0421545667446
OPPO,409.6742081447963,352.75113122171945,285.39366515837105,381.95475113122177,82.17194570135747,1511.9457013574659
