Product_name,Week0,Week1,Week2,Week3,Week4,Weight_sum
"Alcatel 3V (Spectrum Gold, 32 GB)(3 GB RAM)",0,5,3,8,8,21.850000000000012
"Apple iPhone 6s (Space Grey, 32 GB)",0,19,15,13,13,55.99999999999999
"Apple iPhone 6s Plus (Silver, 32 GB)",0,5,3,4,4,14.85
"Apple iPhone 7 (Silver, 128 GB)",0,8,4,4,5,19.650000000000006
"Apple iPhone 7 Plus (Silver, 256 GB)",0,1,0,1,0,1.9
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",0,0,0,0,0,0.0
"Apple iPhone 8 Plus (Gold, 256 GB)",0,3,1,1,5,9.1
"Apple iPhone SE (Gold, 128 GB)(2 GB RAM)",0,0,0,0,0,0.0
"Apple iPhone SE (Silver, 128 GB)",0,7,6,5,10,25.70000000000001
"Apple iPhone X (Silver, 64 GB)",0,19,8,14,11,48.54999999999999
"Apple iPhone XS (Space Grey, 256 GB)",0,0,0,0,0,0.0
"Asus Zenfone 3 Deluxe (Silver, 64 GB)(6 GB RAM)",0,0,0,0,0,0.0
"Asus Zenfone 4 (Red, 8 GB)(1 GB RAM)",0,0,0,0,0,0.0
"Asus Zenfone 4 Selfie (Black, 32 GB)(3 GB RAM)",0,0,2,0,1,2.75
"Asus Zenfone 4 Selfie Pro (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0.0
"Asus Zenfone 5 (Black, 8 GB)(2 GB RAM)",0,0,0,1,0,0.9
"Asus Zenfone Go (3rd Gen) (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0.0
"Asus Zenfone Go 5.5 (Gold, 32 GB)(2 GB RAM)",0,0,0,0,0,0.0
"Asus ZenFone Lite L1 (Gold, 16 GB)(2 GB RAM)",0,85,80,99,120,352.10000000000286
"Asus Zenfone Max (Blue, 32 GB)(2 GB RAM)",0,7,2,2,2,12.4
"Asus Zenfone Max Pro M1 (Black, 64 GB)(4 GB RAM)",0,433,390,446,489,1620.5499999999813
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",0,287,173,183,235,815.7999999999993
"BLU Studio G HD (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0.0
"BLU Studio One (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0.0
"BSNL DM6513 (White, 2 GB)",0,0,0,0,0,0.0
"Coolpad Cool C1 C103 (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0.0
"Coolpad Mega 5M (Dark Blue, 16 GB)(1 GB RAM)",0,0,0,0,0,0.0
"Energy Sistem Neo 4G (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0.0
Forme W350 (White),0,0,0,0,0,0.0
"Ginger Mercury (Grey, 16 GB)(2 GB RAM)",0,0,0,0,0,0.0
"Gionee A1 Plus (Gold, 64 GB)(4 GB RAM)",0,2,1,4,3,9.1
