Vendor,Week30,Week31,Week32,Week33,Week34,Weight_sum
Samsung,3478.942307692308,2565.5466666666666,831.4656410256408,1208.3076923076924,7737.91076923077,15822.173076923078
Xiaomi,2633.6744186046512,2647.5410852713176,1026.048837209302,1984.0209302325584,4154.858139534884,12446.143410852712
OPPO,987.0,1133.853658536585,710.471840354767,1159.9662971175164,2613.5321507760527,6604.823946784922
Vivo,345.75,361.0641509433962,142.34292452830186,435.74009433962254,531.3816037735847,1816.2787735849054
Realme,291.1933174224344,303.4119331742244,176.36992840095468,325.5852028639618,697.0369928400955,1793.5973747016708
Huawei,284.1394348894349,292.3734643734644,120.46609336609335,350.2702702702702,427.1848894348894,1474.434152334152
Others,180.80446927374302,214.6145251396648,125.69078212290502,304.37094972067035,509.21326815642453,1334.6939944134078
